City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
134,Vestmannaeyjar,IS,63.4427,-20.2734,51.6,87,97,10.31,overcast clouds,2022-07-25 01:55:40
135,Jonesboro,US,35.8423,-90.7043,89.42,59,24,10.0,few clouds,2022-07-25 01:55:41
136,Cavalcante,BR,-13.7975,-47.4583,67.26,51,44,4.65,scattered clouds,2022-07-25 01:55:41
137,Coquimbo,CL,-29.9533,-71.3436,53.33,82,100,2.3,overcast clouds,2022-07-25 01:55:41
138,Itaqui,BR,-29.1253,-56.5531,68.18,88,7,8.57,clear sky,2022-07-25 01:55:42
139,Quatre Cocos,MU,-20.2078,57.7625,64.51,73,12,7.23,few clouds,2022-07-25 01:55:43
140,Beidao,CN,34.5686,105.8933,77.36,68,91,5.68,overcast clouds,2022-07-25 01:55:28
141,Tiksi,RU,71.6872,128.8694,48.94,72,52,3.42,broken clouds,2022-07-25 01:52:49
142,New Norfolk,AU,-42.7826,147.0587,56.91,70,61,3.69,broken clouds,2022-07-25 01:55:44
143,Sitka,US,57.0531,-135.33,56.61,99,100,5.23,light rain,2022-07-25 01:55:45
144,Danjiangkou,CN,32.5428,111.5086,82.44,81,100,3.27,overcast clouds,2022-07-25 01:55:45
145,Port Elizabeth,ZA,-33.918,25.5701,53.1,100,20,4.61,few clouds,2022-07-25 01:55:46
146,Shelburne,CA,44.0787,-80.2041,70.59,98,43,11.36,scattered clouds,2022-07-25 01:52:12
147,Taltal,CL,-25.4,-70.4833,56.52,86,13,3.36,few clouds,2022-07-25 01:55:47
148,Hofn,IS,64.2539,-15.2082,50.38,92,100,4.9,overcast clouds,2022-07-25 01:55:49
149,Fuyang,CN,32.9,115.8167,86.76,64,0,7.99,clear sky,2022-07-25 01:55:49
150,Tuktoyaktuk,CA,69.4541,-133.0374,48.2,81,75,9.22,broken clouds,2022-07-25 01:51:08
151,Luanda,AO,-8.8368,13.2343,69.8,94,100,2.3,mist,2022-07-25 01:55:50
152,Kalawit,PH,8.0667,122.5167,82.62,80,100,5.84,overcast clouds,2022-07-25 01:55:51
153,Hambantota,LK,6.1241,81.1185,75.54,100,75,1.14,broken clouds,2022-07-25 01:55:51
154,Kavaratti,IN,10.5669,72.642,81.64,75,100,13.85,overcast clouds,2022-07-25 01:55:52
155,Ancud,CL,-41.8697,-73.8203,47.23,94,96,7.78,overcast clouds,2022-07-25 01:55:52
156,Terrace,CA,54.5163,-128.6035,62.51,94,100,12.66,light rain,2022-07-25 01:55:53
