City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
207,San Matias,BO,-16.3667,-58.4,76.82,34,0,4.94,clear sky
208,Aquiraz,BR,-3.9014,-38.3911,79.18,82,100,11.59,overcast clouds
209,Pitimbu,BR,-7.4706,-34.8086,73.99,80,88,8.39,overcast clouds
210,Maragogi,BR,-9.0122,-35.2225,71.98,88,69,4.94,broken clouds
211,Cururupu,BR,-1.8283,-44.8683,73.96,88,31,2.26,scattered clouds
212,Coahuayana,MX,18.7333,-103.6833,79.59,80,100,1.66,overcast clouds
213,Nova Olimpia,BR,-14.7972,-57.2881,73.45,37,0,3.29,clear sky
214,Rio Cuarto,AR,-33.1307,-64.3499,49.68,82,100,15.01,overcast clouds
215,Lircay,PE,-12.9896,-74.7205,47.08,70,34,1.74,scattered clouds
216,Cambui,BR,-22.6122,-46.0575,59.16,68,19,1.03,few clouds
217,Aracati,BR,-4.5617,-37.7697,78.19,68,98,8.79,overcast clouds
